,date,state,name,wholesalePrice,retailPrice,shoppingmallPrice,units,image
0,2024-05-01,New Delhi,Onion Big,25,29 - 32,30 - 41,1kg,resource/images/vegetables/onionbig-64.png
1,2024-05-01,New Delhi,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
2,2024-05-01,New Delhi,Tomato,26,30 - 33,31 - 43,1kg,resource/images/vegetables/tomato-64.png
3,2024-05-01,New Delhi,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
4,2024-05-01,New Delhi,Beetroot,34,39 - 43,41 - 56,1kg,resource/images/vegetables/beetroot-64.png
5,2024-05-01,New Delhi,Potato,30,35 - 38,36 - 50,1kg,resource/images/vegetables/potato-64.png
6,2024-05-01,New Delhi,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,resource/images/vegetables/plantain-64.png
7,2024-05-01,New Delhi,Amaranth Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/amaranthleaves-64.png
8,2024-05-01,New Delhi,Amla,70,81 - 89,84 - 116,1kg,resource/images/vegetables/amla-64.png
9,2024-05-01,New Delhi,Ash gourd,16,18 - 20,19 - 26,1kg,resource/images/vegetables/ashgourd-64.png
10,2024-05-01,New Delhi,Baby Corn,50,58 - 64,60 - 83,1kg,resource/images/vegetables/babycorn-64.png
11,2024-05-01,New Delhi,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
12,2024-05-01,New Delhi,Capsicum,49,56 - 62,59 - 81,1kg,resource/images/vegetables/capsicum-64.png
13,2024-05-01,New Delhi,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
14,2024-05-01,New Delhi,Bottle Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/bottlegourd-64.png
15,2024-05-01,New Delhi,Butter Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/butterbeans-64.png
16,2024-05-01,New Delhi,Broad Beans,27,31 - 34,32 - 45,1kg,resource/images/vegetables/broadbeans-64.png
17,2024-05-01,New Delhi,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
18,2024-05-01,New Delhi,Carrot,44,51 - 56,53 - 73,1kg,resource/images/vegetables/carrot-64.png
19,2024-05-01,New Delhi,Cauliflower,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cauliflower-64.png
20,2024-05-01,New Delhi,Cluster beans,42,48 - 53,50 - 69,1kg,resource/images/vegetables/clusterbeans-64.png
21,2024-05-01,New Delhi,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
22,2024-05-01,New Delhi,Colocasia Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/colocasialeaves-64.png
23,2024-05-01,New Delhi,Colocasia,26,30 - 33,31 - 43,1kg,resource/images/vegetables/colocasia-64.png
24,2024-05-01,New Delhi,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
25,2024-05-01,New Delhi,Corn,27,31 - 34,32 - 45,1kg,resource/images/vegetables/corn-64.png
26,2024-05-01,New Delhi,Cucumber,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cucumber-64.png
27,2024-05-01,New Delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
28,2024-05-01,New Delhi,Dill Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/dillleaves-64.png
29,2024-05-01,New Delhi,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
30,2024-05-01,New Delhi,Brinjal,24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjal-64.png
31,2024-05-01,New Delhi,Brinjal (Big),26,30 - 33,31 - 43,1kg,resource/images/vegetables/brinjalbig-64.png
32,2024-05-01,New Delhi,Elephant Yam,27,31 - 34,32 - 45,1kg,resource/images/vegetables/elephantyam-64.png
33,2024-05-01,New Delhi,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/fenugreekleaves-64.png
34,2024-05-01,New Delhi,French Beans,51,59 - 65,61 - 84,1kg,resource/images/vegetables/frenchbeans-64.png
35,2024-05-01,New Delhi,Garlic,156,179 - 198,187 - 257,1kg,resource/images/vegetables/garlic-64.png
36,2024-05-01,New Delhi,Ginger,116,133 - 147,139 - 191,1kg,resource/images/vegetables/ginger-64.png
37,2024-05-01,New Delhi,Onion Green,45,52 - 57,54 - 74,1kg,resource/images/vegetables/oniongreen-64.png
38,2024-05-01,New Delhi,Green Peas,42,48 - 53,50 - 69,1kg,resource/images/vegetables/greenpeas-64.png
39,2024-05-01,New Delhi,Ivy Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ivygourd-64.png
40,2024-05-01,New Delhi,Lemon (Lime),63,72 - 80,76 - 104,1kg,resource/images/vegetables/lemon-64.png
41,2024-05-01,New Delhi,Mango Raw,26,30 - 33,31 - 43,1kg,resource/images/vegetables/mangoraw-64.png
42,2024-05-01,New Delhi,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
43,2024-05-01,New Delhi,Mushroom,91,105 - 116,109 - 150,1kg,resource/images/vegetables/mushroom-64.png
44,2024-05-01,New Delhi,Mustard Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/mustardleaves-64.png
45,2024-05-01,New Delhi,Ladies Finger,37,43 - 47,44 - 61,1kg,resource/images/vegetables/ladiesfinger-64.png
46,2024-05-01,New Delhi,Pumpkin,23,26 - 29,28 - 38,1kg,resource/images/vegetables/pumpkin-64.png
47,2024-05-01,New Delhi,Radish,27,31 - 34,32 - 45,1kg,resource/images/vegetables/radish-64.png
48,2024-05-01,New Delhi,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
49,2024-05-01,New Delhi,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
50,2024-05-01,New Delhi,Snake Gourd,25,29 - 32,30 - 41,1kg,resource/images/vegetables/snakegourd-64.png
51,2024-05-01,New Delhi,Sorrel Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/sorrelleaves-64.png
52,2024-05-01,New Delhi,Spinach,15,17 - 19,18 - 25,1kg,resource/images/vegetables/spinach-64.png
53,2024-05-01,New Delhi,Sweet Potato,36,41 - 46,43 - 59,1kg,resource/images/vegetables/sweetpotato-64.png
54,2024-05-02,New Delhi,Onion Big,25,29 - 32,30 - 41,1kg,resource/images/vegetables/onionbig-64.png
55,2024-05-02,New Delhi,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
56,2024-05-02,New Delhi,Tomato,26,30 - 33,31 - 43,1kg,resource/images/vegetables/tomato-64.png
57,2024-05-02,New Delhi,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
58,2024-05-02,New Delhi,Beetroot,34,39 - 43,41 - 56,1kg,resource/images/vegetables/beetroot-64.png
59,2024-05-02,New Delhi,Potato,30,35 - 38,36 - 50,1kg,resource/images/vegetables/potato-64.png
60,2024-05-02,New Delhi,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,resource/images/vegetables/plantain-64.png
61,2024-05-02,New Delhi,Amaranth Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/amaranthleaves-64.png
62,2024-05-02,New Delhi,Amla,70,81 - 89,84 - 116,1kg,resource/images/vegetables/amla-64.png
63,2024-05-02,New Delhi,Ash gourd,16,18 - 20,19 - 26,1kg,resource/images/vegetables/ashgourd-64.png
64,2024-05-02,New Delhi,Baby Corn,50,58 - 64,60 - 83,1kg,resource/images/vegetables/babycorn-64.png
65,2024-05-02,New Delhi,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
66,2024-05-02,New Delhi,Capsicum,49,56 - 62,59 - 81,1kg,resource/images/vegetables/capsicum-64.png
67,2024-05-02,New Delhi,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
68,2024-05-02,New Delhi,Bottle Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/bottlegourd-64.png
69,2024-05-02,New Delhi,Butter Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/butterbeans-64.png
70,2024-05-02,New Delhi,Broad Beans,27,31 - 34,32 - 45,1kg,resource/images/vegetables/broadbeans-64.png
71,2024-05-02,New Delhi,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
72,2024-05-02,New Delhi,Carrot,44,51 - 56,53 - 73,1kg,resource/images/vegetables/carrot-64.png
73,2024-05-02,New Delhi,Cauliflower,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cauliflower-64.png
74,2024-05-02,New Delhi,Cluster beans,42,48 - 53,50 - 69,1kg,resource/images/vegetables/clusterbeans-64.png
75,2024-05-02,New Delhi,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
76,2024-05-02,New Delhi,Colocasia Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/colocasialeaves-64.png
77,2024-05-02,New Delhi,Colocasia,26,30 - 33,31 - 43,1kg,resource/images/vegetables/colocasia-64.png
78,2024-05-02,New Delhi,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
79,2024-05-02,New Delhi,Corn,27,31 - 34,32 - 45,1kg,resource/images/vegetables/corn-64.png
80,2024-05-02,New Delhi,Cucumber,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cucumber-64.png
81,2024-05-02,New Delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
82,2024-05-02,New Delhi,Dill Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/dillleaves-64.png
83,2024-05-02,New Delhi,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
84,2024-05-02,New Delhi,Brinjal,24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjal-64.png
85,2024-05-02,New Delhi,Brinjal (Big),26,30 - 33,31 - 43,1kg,resource/images/vegetables/brinjalbig-64.png
86,2024-05-02,New Delhi,Elephant Yam,27,31 - 34,32 - 45,1kg,resource/images/vegetables/elephantyam-64.png
87,2024-05-02,New Delhi,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/fenugreekleaves-64.png
88,2024-05-02,New Delhi,French Beans,51,59 - 65,61 - 84,1kg,resource/images/vegetables/frenchbeans-64.png
89,2024-05-02,New Delhi,Garlic,156,179 - 198,187 - 257,1kg,resource/images/vegetables/garlic-64.png
90,2024-05-02,New Delhi,Ginger,116,133 - 147,139 - 191,1kg,resource/images/vegetables/ginger-64.png
91,2024-05-02,New Delhi,Onion Green,45,52 - 57,54 - 74,1kg,resource/images/vegetables/oniongreen-64.png
92,2024-05-02,New Delhi,Green Peas,42,48 - 53,50 - 69,1kg,resource/images/vegetables/greenpeas-64.png
93,2024-05-02,New Delhi,Ivy Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ivygourd-64.png
94,2024-05-02,New Delhi,Lemon (Lime),63,72 - 80,76 - 104,1kg,resource/images/vegetables/lemon-64.png
95,2024-05-02,New Delhi,Mango Raw,26,30 - 33,31 - 43,1kg,resource/images/vegetables/mangoraw-64.png
96,2024-05-02,New Delhi,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
97,2024-05-02,New Delhi,Mushroom,91,105 - 116,109 - 150,1kg,resource/images/vegetables/mushroom-64.png
98,2024-05-02,New Delhi,Mustard Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/mustardleaves-64.png
99,2024-05-02,New Delhi,Ladies Finger,37,43 - 47,44 - 61,1kg,resource/images/vegetables/ladiesfinger-64.png
100,2024-05-02,New Delhi,Pumpkin,23,26 - 29,28 - 38,1kg,resource/images/vegetables/pumpkin-64.png
101,2024-05-02,New Delhi,Radish,27,31 - 34,32 - 45,1kg,resource/images/vegetables/radish-64.png
102,2024-05-02,New Delhi,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
103,2024-05-02,New Delhi,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
104,2024-05-02,New Delhi,Snake Gourd,25,29 - 32,30 - 41,1kg,resource/images/vegetables/snakegourd-64.png
105,2024-05-02,New Delhi,Sorrel Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/sorrelleaves-64.png
106,2024-05-02,New Delhi,Spinach,15,17 - 19,18 - 25,1kg,resource/images/vegetables/spinach-64.png
